image_url,color_1,proportion_1,color_2,proportion_2,color_3,proportion_3,color_4,proportion_4,color_5,proportion_5
"https://ids.lib.harvard.edu/ids/iiif/50837155/full/,150/0/default.jpg",#cd4455,0.018620689655172412,#373639,0.4241609195402299,#dcd5d0,0.25194252873563217,#726d72,0.15204597701149425,#a29897,0.15322988505747126
"https://ids.lib.harvard.edu/ids/iiif/50837154/full/,150/0/default.jpg",#313031,0.2762177447861435,#bebcc5,0.6369848002827855,#4358b6,0.025440084835630965,#8a90ab,0.032407211028632026,#636165,0.02895015906680806
"https://ids.lib.harvard.edu/ids/iiif/50837153/full/,150/0/default.jpg",#404c9e,0.19675579322638145,#d41d2c,0.3433868092691622,#e0cbc0,0.15532976827094475,#31292c,0.12736185383244206,#979abb,0.1771657754010695
"https://ids.lib.harvard.edu/ids/iiif/50837152/full/,150/0/default.jpg",#2e2e2d,0.45786604361370714,#c7bdad,0.271926272066459,#908981,0.10016095534787124,#646676,0.04374350986500519,#b8b0a1,0.12630321910695744
"https://ids.lib.harvard.edu/ids/iiif/50837151/full/,150/0/default.jpg",#969bae,0.012888888888888889,#0d0d5a,0.4385777777777778,#282828,0.3294222222222222,#d4d3ca,0.14964444444444444,#373d72,0.06946666666666666
"https://ids.lib.harvard.edu/ids/iiif/50837150/full/,150/0/default.jpg",#33312f,0.2827777777777778,#b7b2ac,0.5672875816993465,#51515d,0.050217864923747274,#747275,0.060206971677559916,#929197,0.03950980392156863
"https://ids.lib.harvard.edu/ids/iiif/50837149/full/,150/0/default.jpg",#4b5384,0.1452269647696477,#edeaea,0.5043631436314363,#7e849f,0.07860433604336044,#3a3839,0.17549119241192412,#babcc9,0.09631436314363144
"https://ids.lib.harvard.edu/ids/iiif/50837148/full/,150/0/default.jpg",#e1d3c5,0.30824263038548755,#3b3938,0.3949319727891156,#e34b4a,0.07342403628117913,#2069a9,0.1470294784580499,#919da5,0.0763718820861678
"https://ids.lib.harvard.edu/ids/iiif/50837147/full/,150/0/default.jpg",#223a64,0.0844478527607362,#bbb8b0,0.4389672801635992,#878d96,0.10904907975460122,#302f2f,0.26202965235173825,#535f76,0.10550613496932515
"https://ids.lib.harvard.edu/ids/iiif/50837146/full/,150/0/default.jpg",#302f2c,0.35081111111111113,#e1be0c,0.42917777777777777,#131f69,0.12373333333333333,#ab991a,0.05167777777777778,#71672f,0.0446
"https://ids.lib.harvard.edu/ids/iiif/50803241/full/,150/0/default.jpg",#e3d5c6,0.19593333333333332,#302d2c,0.4058777777777778,#d84044,0.0893111111111111,#546a7a,0.1313777777777778,#b3a49c,0.1775
"https://ids.lib.harvard.edu/ids/iiif/50803240/full/,150/0/default.jpg",#2b6199,0.10253333333333334,#bca4a1,0.13186666666666666,#2f2a29,0.34871111111111114,#df6969,0.16977777777777778,#e2d7cf,0.24711111111111111
"https://ids.lib.harvard.edu/ids/iiif/50803239/full/,150/0/default.jpg",#2c2d2b,0.33866666666666667,#8fb3b1,0.07977777777777778,#0c7e72,0.2829333333333333,#dfdcda,0.15755555555555556,#54938e,0.14106666666666667
"https://ids.lib.harvard.edu/ids/iiif/50803238/full/,150/0/default.jpg",#302d2b,0.3557111111111111,#a97e5d,0.19727777777777777,#8f5e46,0.16774444444444445,#525154,0.1329,#bf9c77,0.14636666666666667
"https://ids.lib.harvard.edu/ids/iiif/50803237/full/,150/0/default.jpg",#be740c,0.07104444444444444,#322c28,0.34507777777777776,#f89307,0.38734444444444444,#1d150e,0.13332222222222223,#74460d,0.0632111111111111
"https://ids.lib.harvard.edu/ids/iiif/50803235/full/,150/0/default.jpg",#2e458a,0.2818777777777778,#2f2e2d,0.5078444444444444,#8b95b8,0.0825,#d5d4d7,0.04437777777777778,#616f9d,0.0834
"https://ids.lib.harvard.edu/ids/iiif/50803234/full/,150/0/default.jpg",#302d27,0.5122222222222222,#e9d137,0.26182222222222223,#695a18,0.08688888888888889,#a79329,0.08733333333333333,#f5b808,0.05173333333333333
"https://ids.lib.harvard.edu/ids/iiif/50803233/full/,150/0/default.jpg",#2f2e2c,0.3582444444444444,#e4deda,0.25114444444444445,#365291,0.21986666666666665,#9fa6ba,0.062377777777777775,#6474a0,0.10836666666666667
"https://ids.lib.harvard.edu/ids/iiif/50803232/full/,150/0/default.jpg",#e24f4e,0.3907555555555556,#332d2c,0.3383555555555556,#ebd2ca,0.059111111111111114,#f0a29c,0.08288888888888889,#e87674,0.1288888888888889
"https://ids.lib.harvard.edu/ids/iiif/50803231/full/,150/0/default.jpg",#e0b2a2,0.12386666666666667,#2e2d2b,0.3402222222222222,#d85249,0.03462222222222222,#e4d3bf,0.49,#857e73,0.011288888888888888
"https://ids.lib.harvard.edu/ids/iiif/50803230/full/,150/0/default.jpg",#2d2c29,0.379,#ada74d,0.08713333333333333,#24576e,0.21895555555555554,#edcf35,0.2257111111111111,#637763,0.0892
"https://ids.lib.harvard.edu/ids/iiif/50803229/full/,150/0/default.jpg",#2c2c2d,0.3471111111111111,#1b90c9,0.5150666666666667,#d1d7d9,0.06395555555555556,#71b7d0,0.05906666666666667,#145c7a,0.0148
"https://ids.lib.harvard.edu/ids/iiif/50803228/full/,150/0/default.jpg",#121e60,0.27673333333333333,#e2dad5,0.25226666666666664,#db2346,0.07034444444444445,#2e2d2c,0.3539,#757e93,0.04675555555555556
"https://ids.lib.harvard.edu/ids/iiif/50803227/full/,150/0/default.jpg",#2f2e2c,0.3393777777777778,#dadad6,0.4770666666666667,#d31d16,0.049911111111111114,#161574,0.08862222222222223,#a28997,0.04502222222222222
"https://ids.lib.harvard.edu/ids/iiif/50803226/full/,150/0/default.jpg",#e8dacf,0.3701777777777778,#2f2e2c,0.33768888888888887,#d9616f,0.08715555555555556,#d62039,0.10813333333333333,#e09f9f,0.09684444444444444
"https://ids.lib.harvard.edu/ids/iiif/50803225/full/,150/0/default.jpg",#b5c7cd,0.40274444444444446,#2f2e2d,0.3470666666666667,#768187,0.07862222222222222,#4f575d,0.07836666666666667,#97a6ad,0.0932
"https://ids.lib.harvard.edu/ids/iiif/50803224/full/,150/0/default.jpg",#2c2c2d,0.36493333333333333,#e1d9ce,0.16391111111111112,#1b50a1,0.3589777777777778,#4b76ad,0.06582222222222223,#94abc2,0.04635555555555555
